year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key
2015,21280,1,1,1,2015_21280
2016,21280,0,0,1,2016_21280
2017,21280,0,0,1,2017_21280
2013,21310,0,0,0,2013_21310
2014,21310,0,0,0,2014_21310
2015,21310,0,0,1,2015_21310
2016,21310,1,1,1,2016_21310
2017,21310,0,0,1,2017_21310
2013,21360,0,0,0,2013_21360
2014,21360,1,1,1,2014_21360
2015,21360,0,0,1,2015_21360
2016,21360,0,0,1,2016_21360
2017,21360,0,0,1,2017_21360
2013,21450,0,1,1,2013_21450
2014,21450,0,0,1,2014_21450
2015,21450,1,1,1,2015_21450
2016,21450,0,0,0,2016_21450
2017,21450,0,0,0,2017_21450
2013,21480,0,0,1,2013_21480
2014,21480,0,1,1,2014_21480
2015,21480,0,0,1,2015_21480
2016,21480,1,1,1,2016_21480
2017,21480,0,0,0,2017_21480
2013,21490,0,0,1,2013_21490
2014,21490,0,1,1,2014_21490
2015,21490,0,0,1,2015_21490
2016,21490,1,1,1,2016_21490
2017,21490,1,1,1,2017_21490
2013,21500,1,1,1,2013_21500
2014,21500,1,1,1,2014_21500
2015,21500,0,0,1,2015_21500
2016,21500,1,1,1,2016_21500
2017,21500,0,0,1,2017_21500
2013,21510,0,0,0,2013_21510
2014,21510,0,0,0,2014_21510
2015,21510,0,0,0,2015_21510
2016,21510,0,0,1,2016_21510
2017,21510,0,0,1,2017_21510
2017,21520,0,0,0,2017_21520
2013,21890,0,0,0,2013_21890
2014,21890,0,0,0,2014_21890
2015,21890,0,0,0,2015_21890
2016,21890,0,0,1,2016_21890
2017,21890,1,1,1,2017_21890
2015,21910,0,0,1,2015_21910
2016,21910,1,1,1,2016_21910
2013,22150,1,1,1,2013_22150
2014,22150,0,1,1,2014_22150
2015,22150,1,1,1,2015_22150
2016,22150,0,0,1,2016_22150
2017,22150,0,0,0,2017_22150
2013,23010,0,0,0,2013_23010
2014,23010,0,0,1,2014_23010
2015,23010,0,0,1,2015_23010
2016,23010,0,1,1,2016_23010
2017,23010,1,1,1,2017_23010
2013,23020,0,0,0,2013_23020
2014,23020,0,0,1,2014_23020
2015,23020,0,0,1,2015_23020
2016,23020,1,1,1,2016_23020
2017,23020,0,0,1,2017_23020
2016,23220,0,0,1,2016_23220
2017,23220,0,0,1,2017_23220
2013,23300,0,1,1,2013_23300
2014,23300,0,0,1,2014_23300
2015,23300,0,1,1,2015_23300
2016,23300,0,0,1,2016_23300
2017,23300,0,0,0,2017_23300
2013,23380,0,0,0,2013_23380
2014,23380,0,1,1,2014_23380
2015,23380,0,0,1,2015_23380
2016,23380,1,1,1,2016_23380
2017,23380,1,1,1,2017_23380
2013,23430,0,0,0,2013_23430
2014,23430,0,0,0,2014_23430
2015,23430,1,1,1,2015_23430
2016,23430,0,0,1,2016_23430
2017,23430,0,0,1,2017_23430
2016,23460,0,0,1,2016_23460
2017,23460,0,0,1,2017_23460
2016,23510,0,0,1,2016_23510
2013,23680,0,0,0,2013_23680
2014,23680,0,0,0,2014_23680
2015,23680,0,0,0,2015_23680
2016,23680,0,0,1,2016_23680
2017,23680,1,1,1,2017_23680
2013,23700,1,1,1,2013_23700
2014,23700,0,0,1,2014_23700
2015,23700,0,1,1,2015_23700
2016,23700,0,0,1,2016_23700
2017,23700,1,1,1,2017_23700
2013,23820,0,0,1,2013_23820
2015,23820,0,0,1,2015_23820
2016,23820,1,1,1,2016_23820
2017,23820,0,0,0,2017_23820
2013,25320,0,0,0,2013_25320
2014,25320,1,1,1,2014_25320
2015,25320,1,1,1,2015_25320
2016,25320,1,1,1,2016_25320
2017,25320,0,1,1,2017_25320
2017,25360,0,0,1,2017_25360
2013,25380,0,0,1,2013_25380
2014,25380,0,1,1,2014_25380
2015,25380,0,0,1,2015_25380
2016,25380,1,1,1,2016_25380
2017,25380,0,0,1,2017_25380
2017,25570,0,1,1,2017_25570
2013,25590,0,0,0,2013_25590
2013,25710,1,1,1,2013_25710
2014,25710,1,1,1,2014_25710
2015,25710,0,0,1,2015_25710
2016,25710,1,1,1,2016_25710
2017,25710,0,0,1,2017_25710
2013,26010,0,0,0,2013_26010
2014,26010,0,1,1,2014_26010
2015,26010,0,0,1,2015_26010
2016,26010,0,1,1,2016_26010
2017,26010,0,1,1,2017_26010
2013,26390,0,0,0,2013_26390
2014,26390,0,0,1,2014_26390
2015,26390,0,0,0,2015_26390
2016,26390,0,1,1,2016_26390
2017,26390,0,0,1,2017_26390
2014,26600,0,0,0,2014_26600
2016,26600,0,0,1,2016_26600
2013,26640,0,0,0,2013_26640
2014,26640,0,0,0,2014_26640
2015,26640,0,0,0,2015_26640
2016,26640,0,0,0,2016_26640
2017,26640,0,1,1,2017_26640
2013,26730,0,0,0,2013_26730
2014,26730,0,0,0,2014_26730
2015,26730,0,0,0,2015_26730
2013,27200,0,0,0,2013_27200
2014,27200,0,0,1,2014_27200
2015,27200,0,1,1,2015_27200
2016,27200,0,0,1,2016_27200
2017,27200,0,0,0,2017_27200
2013,27210,0,0,0,2013_27210
2014,27210,0,0,0,2014_27210
2015,27210,0,0,0,2015_27210
2016,27210,1,1,1,2016_27210
2017,27210,0,0,0,2017_27210
2013,27230,0,0,0,2013_27230
2014,27230,0,1,1,2014_27230
2015,27230,0,0,0,2015_27230
2016,27230,0,0,0,2016_27230
2017,27230,0,0,0,2017_27230
2013,27240,0,0,1,2013_27240
2014,27240,0,1,1,2014_27240
2015,27240,0,0,0,2015_27240
2016,27240,0,0,0,2016_27240
2017,27240,0,0,0,2017_27240
2013,27400,0,0,1,2013_27400
2014,27400,0,0,0,2014_27400
2015,27400,0,0,0,2015_27400
2016,27400,0,0,0,2016_27400
2017,27400,0,0,0,2017_27400
2013,27440,0,0,1,2013_27440
2014,27440,0,0,1,2014_27440
2015,27440,1,1,1,2015_27440
2016,27440,0,0,1,2016_27440
2017,27440,0,0,0,2017_27440
2013,27450,0,0,0,2013_27450
2014,27450,0,0,0,2014_27450
2015,27450,1,1,1,2015_27450
2016,27450,0,0,0,2016_27450
2017,27450,0,0,0,2017_27450
2013,27460,1,1,1,2013_27460
2014,27460,1,1,1,2014_27460
2015,27460,0,1,1,2015_27460
2016,27460,0,0,0,2016_27460
2017,27460,0,0,0,2017_27460
2013,28380,0,0,1,2013_28380
2014,28380,0,0,1,2014_28380
2017,28380,0,0,1,2017_28380
2014,28590,0,0,1,2014_28590
2013,28600,0,1,1,2013_28600
2014,28600,0,1,1,2014_28600
2015,28600,1,1,1,2015_28600
2016,28600,1,1,1,2016_28600
2017,28600,0,0,1,2017_28600
2013,28610,0,0,1,2013_28610
2014,28610,0,0,1,2014_28610
2015,28610,0,1,1,2015_28610
2016,28610,0,0,0,2016_28610
2017,28610,0,0,1,2017_28610
2013,28630,0,0,1,2013_28630
2014,28630,0,0,0,2014_28630
2015,28630,0,0,1,2015_28630
2016,28630,0,0,0,2016_28630
2017,28630,0,1,1,2017_28630
2014,28850,0,0,0,2014_28850
2014,28880,0,0,0,2014_28880
2013,28930,0,0,1,2013_28930
2014,28930,0,0,1,2014_28930
2015,28930,0,0,1,2015_28930
2016,28930,1,1,1,2016_28930
2017,28930,0,0,1,2017_28930
2013,28950,0,0,1,2013_28950
2014,28950,0,0,1,2014_28950
2015,28950,0,1,1,2015_28950
2016,28950,0,0,0,2016_28950
2017,28950,0,0,0,2017_28950
2013,29030,0,0,0,2013_29030
2014,29030,1,1,1,2014_29030
2013,29040,1,1,1,2013_29040
2014,29040,0,0,0,2014_29040
2015,29040,0,0,1,2015_29040
2016,29040,0,0,1,2016_29040
2017,29040,1,1,1,2017_29040
2013,29050,0,0,1,2013_29050
2014,29050,0,0,1,2014_29050
2015,29050,0,0,0,2015_29050
2016,29050,0,0,0,2016_29050
2017,29050,0,0,1,2017_29050
2013,29070,0,0,1,2013_29070
2014,29070,0,0,0,2014_29070
2015,29070,0,0,0,2015_29070
2016,29070,0,0,0,2016_29070
2017,29070,1,1,1,2017_29070
2013,29080,0,1,1,2013_29080
2014,29080,0,0,1,2014_29080
2015,29080,1,1,1,2015_29080
2016,29080,0,0,0,2016_29080
2017,29080,0,0,0,2017_29080
2013,29090,0,0,1,2013_29090
2014,29090,0,0,1,2014_29090
2015,29090,0,0,1,2015_29090
2016,29090,0,0,0,2016_29090
2017,29090,0,0,0,2017_29090
2013,29140,0,0,1,2013_29140
2014,29140,0,1,1,2014_29140
2015,29140,0,0,1,2015_29140
2016,29140,0,0,0,2016_29140
2017,29140,0,0,0,2017_29140
2016,29190,0,0,0,2016_29190
2017,29190,0,0,0,2017_29190
2013,29200,0,1,1,2013_29200
2014,29200,0,0,0,2014_29200
2015,29200,0,0,0,2015_29200
2016,29200,0,0,0,2016_29200
2017,29200,0,0,1,2017_29200
2013,30380,0,0,1,2013_30380
2014,30380,0,0,1,2014_30380
2015,30380,0,0,1,2015_30380
2016,30380,1,1,1,2016_30380
2017,30380,0,0,0,2017_30380
2016,30420,0,0,0,2016_30420
2017,30420,0,0,0,2017_30420
2014,30470,0,1,1,2014_30470
2015,30470,0,0,0,2015_30470
2016,30470,0,1,1,2016_30470
2017,30470,0,0,0,2017_30470
2013,30600,0,0,0,2013_30600
2014,30600,1,1,1,2014_30600
2015,30600,1,1,1,2015_30600
2016,30600,0,0,1,2016_30600
2017,30600,0,1,1,2017_30600
2013,30770,0,0,1,2013_30770
2014,30770,1,1,1,2014_30770
2015,30770,0,0,1,2015_30770
2016,30770,0,0,1,2016_30770
2017,30770,0,0,0,2017_30770
2017,30790,0,0,1,2017_30790
2013,31020,0,0,0,2013_31020
2014,31020,0,0,0,2014_31020
2015,31020,0,0,0,2015_31020
2016,31020,0,0,0,2016_31020
2017,31020,1,1,1,2017_31020
2013,31030,0,0,1,2013_31030
2014,31030,0,1,1,2014_31030
2015,31030,0,0,0,2015_31030
2016,31030,0,0,1,2016_31030
2017,31030,0,0,1,2017_31030
2013,31040,0,0,1,2013_31040
2014,31040,1,1,1,2014_31040
2015,31040,0,0,0,2015_31040
2016,31040,0,0,1,2016_31040
2017,31040,0,0,1,2017_31040
2017,32160,0,0,0,2017_32160
2017,32170,0,0,1,2017_32170
2013,32200,0,0,1,2013_32200
2016,32200,0,0,1,2016_32200
2017,32200,0,0,1,2017_32200
2013,32300,1,1,1,2013_32300
2014,32300,0,0,0,2014_32300
2015,32300,0,0,1,2015_32300
2016,32300,0,0,0,2016_32300
2017,32300,0,0,1,2017_32300
2014,32340,0,0,0,2014_32340
2015,32340,0,0,1,2015_32340
2016,32340,0,0,1,2016_32340
2017,32340,0,0,1,2017_32340
2013,32350,0,0,0,2013_32350
2014,32350,0,1,1,2014_32350
2015,32350,0,0,0,2015_32350
2016,32350,0,1,1,2016_32350
2017,32350,1,1,1,2017_32350
2013,32430,0,0,1,2013_32430
2014,32430,0,0,0,2014_32430
2015,32430,0,0,0,2015_32430
2013,32440,1,1,1,2013_32440
2014,32440,1,1,1,2014_32440
2015,32440,0,0,0,2015_32440
2016,32440,0,0,0,2016_32440
2017,32440,0,0,0,2017_32440
2013,32460,0,0,1,2013_32460
2014,32460,1,1,1,2014_32460
2015,32460,0,0,1,2015_32460
