,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
584,0,1,1,14,11,9,4,15,14,0,4,7,4,3,3,2,4,0,1
681,0,1,1,191,96,138,108,88,75,14,44,64,33,27,8,127,27,28,25
278,1,1,1,15,2,5,1,4,6,3,0,2,0,11,1,0,2,4,2
312,0,1,1,48,18,22,5,6,10,8,21,7,21,4,8,4,1,8,3
105,0,1,1,9,5,0,0,2,0,1,2,2,2,1,6,1,0,0,2
324,1,1,1,8,3,0,0,0,0,1,0,0,0,0,0,0,3,0,1
644,0,1,1,74,35,62,32,48,28,16,10,31,9,12,10,22,15,12,8
655,1,1,1,46,14,28,9,39,56,6,5,28,4,21,6,5,15,9,6
156,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
232,0,1,1,91,53,33,12,23,21,17,20,17,19,30,7,10,22,10,15
554,1,1,1,32,21,22,15,21,16,3,3,12,3,5,5,17,5,6,4
361,0,1,1,9,4,0,1,0,1,5,2,0,2,0,1,1,0,0,2
274,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,1,1,1,5,1,1,0,0,1,0,0,1,0,0,0,0,2,1,1
153,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
452,0,1,1,204,106,79,27,22,8,35,90,12,85,45,16,14,10,11,25
266,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
590,0,0,1,44,22,28,16,9,29,6,1,13,1,5,6,5,16,7,7
50,0,0,0,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1
543,0,0,0,79,37,70,27,43,26,13,16,23,14,14,8,25,12,7,12
99,0,0,0,6,2,1,0,0,0,1,0,0,0,1,3,0,0,0,1
439,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
218,0,0,0,10,1,2,0,0,0,3,0,0,0,0,0,0,3,1,1
637,0,0,0,154,87,138,62,58,105,16,54,62,37,48,17,58,35,24,11
679,0,0,0,182,90,119,84,73,70,12,45,67,36,25,7,94,24,26,22
21,0,0,0,2,2,1,0,1,1,1,1,1,1,0,1,0,0,0,1
652,0,0,0,61,28,39,20,32,29,8,7,20,7,8,10,27,19,1,4
676,0,0,0,15,8,7,14,11,6,2,2,3,2,1,3,2,2,5,1
559,0,0,0,49,25,31,17,27,18,13,7,23,6,10,6,24,7,11,12
583,0,0,1,15,12,9,3,14,17,0,3,6,3,2,3,1,5,0,1
23,0,0,0,2,1,2,0,1,2,0,0,1,0,0,1,0,0,0,2
294,0,0,1,68,21,20,11,12,13,24,10,5,9,9,12,5,15,4,13
367,0,0,1,24,9,9,2,3,3,2,4,4,4,1,4,1,0,1,2
334,0,0,0,88,41,12,8,6,4,9,30,5,27,25,9,7,8,7,16
600,0,0,1,61,28,41,14,32,24,8,13,18,10,9,9,9,11,12,8
617,0,0,1,82,45,45,23,14,27,14,9,9,8,20,8,21,25,17,10
627,0,0,0,185,113,89,34,103,42,34,106,67,88,89,17,31,17,41,33
102,0,0,0,3,1,1,0,0,0,0,0,0,0,2,3,1,0,0,0
94,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
536,0,0,0,34,19,19,8,24,20,5,2,16,2,17,4,3,10,2,8
135,0,0,0,77,42,10,3,9,5,17,39,6,35,23,15,3,2,9,13
475,0,0,1,23,16,21,7,15,17,6,5,9,3,9,3,2,4,6,2
329,0,0,0,11,3,4,2,2,2,2,2,1,2,3,0,1,2,1,1
172,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
315,0,0,0,54,24,25,10,3,8,11,27,4,25,5,8,4,4,7,6
391,0,0,1,48,18,20,7,4,18,14,11,5,9,5,8,5,9,3,5
393,0,0,1,2,0,3,0,1,1,0,0,1,0,0,0,0,0,0,1
418,0,0,0,44,18,14,4,6,7,17,12,4,12,6,6,5,6,4,5
607,0,0,0,17,9,11,9,4,7,3,2,2,1,2,3,2,3,2,1
534,0,0,1,18,8,13,1,20,10,3,0,12,0,10,2,1,6,2,3
425,0,0,0,2,2,0,0,0,1,1,1,0,1,1,0,0,0,1,0
360,0,0,0,7,3,0,0,0,2,0,0,0,0,2,1,0,1,1,2
256,0,0,1,87,43,49,19,44,46,18,15,24,11,44,5,8,10,12,10
62,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
61,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
282,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,62,26,21,17,19,25,13,10,7,10,7,7,10,12,5,13
242,0,0,1,57,28,24,26,19,22,9,6,13,4,10,6,9,14,5,5
489,0,0,0,33,14,14,4,18,15,4,6,20,4,11,3,3,3,14,5
231,0,0,1,90,47,27,12,24,22,20,19,18,17,24,9,12,21,11,15
469,0,0,0,61,32,14,7,12,6,6,7,11,5,15,8,9,8,12,9
190,0,0,0,9,3,2,1,1,2,2,1,0,1,1,2,0,0,1,0
440,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
653,0,0,1,42,14,11,6,19,26,7,4,10,4,17,5,0,12,5,3
540,0,0,1,71,34,50,25,25,17,15,14,17,13,12,8,18,8,7,9
309,0,0,0,5,1,0,0,1,1,0,0,1,0,0,3,0,0,0,0
410,0,0,1,19,3,1,1,5,10,3,3,4,3,7,5,1,4,2,3
29,0,0,0,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
118,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
468,0,0,0,53,29,15,7,2,4,6,7,7,4,14,8,6,7,8,7
336,0,0,1,35,15,9,3,6,3,11,8,2,8,1,6,2,8,3,3
685,0,0,0,13,10,8,4,9,7,1,3,3,3,0,2,2,3,4,1
354,0,0,1,7,3,2,2,1,1,0,0,1,0,0,3,0,1,0,1
185,0,0,1,67,21,31,20,5,16,17,9,6,9,11,7,21,17,8,10
662,0,0,0,310,180,252,107,132,59,54,113,105,95,87,25,114,55,56,46
240,0,0,1,45,23,24,23,13,15,6,4,11,3,7,7,6,8,4,5
463,0,0,0,13,8,6,3,5,10,2,3,6,3,3,1,4,0,5,0
307,0,0,0,5,2,0,0,0,0,0,1,0,0,1,2,0,0,1,0
262,0,0,1,72,28,32,19,33,24,12,13,21,13,8,10,8,15,8,16
230,0,0,1,89,49,31,10,11,19,19,17,14,15,24,9,11,24,7,14
252,0,0,0,64,31,61,20,29,15,14,8,24,7,14,4,10,23,6,10
636,0,0,1,145,83,129,61,55,94,13,52,55,38,55,16,56,32,21,12
487,0,0,1,32,12,14,6,14,11,4,8,10,6,9,2,2,3,7,4
651,0,0,0,57,27,37,22,29,31,8,8,22,8,4,9,25,18,1,6
141,0,0,0,20,10,1,4,2,5,1,3,1,3,0,5,3,2,2,5
397,0,0,0,6,0,2,0,4,3,1,0,1,0,2,1,2,2,0,1
