,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
626,0,0,0,190,110,85,33,79,39,32,101,64,85,87,18,29,20,32,30
703,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
698,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,27,13,19,2,8,6,11,7,6,7,2,3,2,4,13,3
670,0,0,0,40,20,18,9,23,24,9,11,15,8,13,4,5,15,13,3
327,0,0,1,7,2,2,1,1,1,2,2,2,1,0,0,0,0,2,1
580,0,0,1,12,4,5,2,9,4,0,2,4,1,1,3,1,3,0,0
47,0,0,1,16,8,8,3,2,0,7,5,2,5,1,0,1,5,3,3
365,0,0,0,21,6,1,2,1,4,5,6,2,4,1,2,1,1,0,4
346,0,0,1,47,19,18,4,6,9,10,9,5,8,3,5,4,5,0,4
299,0,0,0,13,5,1,0,2,1,3,1,3,1,1,2,0,2,2,2
398,0,0,0,50,23,14,13,8,13,7,14,6,14,6,12,3,9,2,8
70,0,0,0,42,22,34,7,5,6,11,17,3,15,5,7,4,5,5,6
98,0,0,0,8,2,0,2,0,0,1,0,0,0,0,4,1,0,0,1
37,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
320,0,0,1,23,15,1,0,4,5,5,3,3,2,1,2,0,5,1,2
333,0,0,0,85,41,6,5,6,5,8,30,4,27,22,8,4,7,9,14
7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
455,0,0,0,245,134,74,35,38,9,38,121,16,116,55,21,16,12,21,33
