,year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_no_longer_eligible,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval
63250,2015,1960,0,0,0,0
63832,2016,1960,0,0,0,0
64564,2017,1960,0,0,0,1
58447,2013,1970,0,0,0,1
59754,2014,1970,1,0,1,1
60904,2015,1970,0,0,0,0
61797,2016,1970,0,0,0,1
62710,2017,1970,1,0,1,1
62419,2017,2072,0,0,0,1
49692,2013,2119,0,0,0,1
51375,2014,2119,0,0,0,0
52951,2015,2119,0,0,0,0
54571,2016,2119,1,0,1,1
56521,2017,2119,0,0,0,1
52119,2013,2120,0,0,0,0
52372,2014,2120,0,0,0,0
55188,2015,2120,0,0,0,1
56491,2016,2120,0,0,0,1
58272,2017,2120,1,0,1,1
46731,2013,2121,0,0,0,1
48806,2014,2121,0,0,0,1
51395,2015,2121,0,0,0,1
53233,2016,2121,0,0,0,1
55011,2017,2121,1,0,1,1
49488,2013,2122,0,0,0,1
51186,2014,2122,0,0,0,0
53177,2015,2122,0,0,0,1
55169,2016,2122,0,0,0,1
56932,2017,2122,0,0,1,1
53266,2013,2124,0,0,0,0
54362,2014,2124,0,0,0,0
56435,2015,2124,1,0,1,1
58209,2016,2124,1,0,1,1
59738,2017,2124,0,0,0,1
48150,2013,2125,1,0,1,1
50306,2014,2125,0,0,0,1
52549,2015,2125,1,0,1,1
54038,2016,2125,0,0,1,1
55448,2017,2125,1,0,1,1
50681,2013,2126,0,0,0,0
52022,2014,2126,0,0,0,0
53555,2015,2126,0,0,0,0
55472,2016,2126,1,0,1,1
56714,2017,2126,0,0,0,1
44502,2013,2128,0,0,0,1
45369,2014,2128,0,0,0,0
48132,2015,2128,1,0,1,1
51015,2016,2128,0,0,0,1
53294,2017,2128,0,0,0,1
59724,2013,2131,0,0,0,0
60370,2014,2131,0,0,0,0
61619,2015,2131,0,0,0,1
62692,2016,2131,1,0,1,1
63761,2017,2131,0,0,0,1
56191,2013,2136,0,0,0,0
57479,2014,2136,1,0,1,1
59307,2015,2136,0,0,0,1
60425,2016,2136,0,0,0,1
61391,2017,2136,0,0,0,1
