,Unnamed: 0,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key,Average_Word_Length,Average_Wordlength,Proportion_Words_Longer_Than_Five,Average_Readability_Score,Average_Syllables_Per_Word
438,438,0,0,0,2017_44310,4.362313057,4.362313057,0.224305588,68.80793919,1.309947642
43,43,0,1,1,2017_15068,4.347637853,4.347637853,0.223866786,63.07116667,1.314037257
519,519,0,0,1,2013_85035,4.256043687,4.256043687,0.21418751600000002,56.99740196,1.28940738
75,75,0,0,1,2017_15122,4.319830176,4.319830176,0.22270423399999997,58.98237931,1.308826572
342,342,0,0,0,2014_44110,4.465052695,4.465052695,0.24197967,53.02971831,1.31766739
452,452,0,1,1,2013_53703,4.385230697,4.385230697,0.236679594,49.96367352,1.304914984
449,449,0,0,0,2017_44320,4.471186671,4.471186671,0.237888768,65.2184375,1.326775478
372,372,0,0,0,2014_44123,4.405121498,4.405121498,0.23026869,62.58454545,1.31721402
197,197,0,0,0,2013_28098,4.474519304,4.474519304,0.23195195300000002,61.19933333,1.326728502
573,573,0,0,1,2016_85281,4.3663621280000005,4.3663621280000005,0.225023455,67.78012714,1.308485228
567,567,0,0,1,2015_85208,4.266780774,4.266780774,0.214216612,63.0096748,1.2985279790000002
16,16,0,0,1,2013_15034,4.216572461,4.216572461,0.171083948,-64.95,1.25915294
500,500,0,0,0,2017_85015,4.329903355,4.329903355,0.22080572699999998,67.90339535,1.306710415
270,270,0,0,0,2015_29432,4.560726311,4.560726311,0.22089947100000001,79.61333333,1.3425925930000002
60,60,0,0,0,2017_15110,3.829071851,3.829071851,0.190626004,18.105999999999998,1.299007596
40,40,0,0,1,2014_15068,4.300230458,4.300230458,0.21488137699999998,63.18409836,1.2967806020000001
289,289,0,0,1,2017_34667,4.133333333,4.133333333,0.233333333,68.44,1.233333333
90,90,0,0,0,2015_15137,4.232788933,4.232788933,0.20692301,66.03927536,1.276791297
327,327,0,0,1,2014_44105,4.309436519,4.309436519,0.23239101899999998,52.15416667,1.291009919
77,77,0,0,0,2014_15131,4.305729669,4.305729669,0.210844285,67.71326087,1.295308978
165,165,0,0,0,2013_28025,4.326525661,4.326525661,0.230777757,51.98006289,1.312701275
407,407,0,0,0,2015_44137,4.279718408,4.279718408,0.206709982,66.59418605,1.2936819309999998
105,105,0,1,1,2017_15145,4.2874366219999995,4.2874366219999995,0.212722191,63.93083333,1.304938036
