,Unnamed: 0,year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_no_longer_eligible,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key
246,57876,2015,1952,0,0,0,0,2015_19520
247,57829,2016,1952,0,0,0,0,2016_19520
248,59022,2017,1952,0,0,1,1,2017_19520
249,61998,2013,1960,0,0,0,0,2013_19600
250,62614,2014,1960,0,0,0,0,2014_19600
251,63250,2015,1960,0,0,0,0,2015_19600
252,63832,2016,1960,0,0,0,0,2016_19600
253,64564,2017,1960,0,0,0,1,2017_19600
254,58447,2013,1970,0,0,0,1,2013_19700
255,59754,2014,1970,1,0,1,1,2014_19700
256,60904,2015,1970,0,0,0,0,2015_19700
257,61797,2016,1970,0,0,0,1,2016_19700
258,62710,2017,1970,1,0,1,1,2017_19700
259,62419,2017,2072,0,0,0,1,2017_20720
260,49692,2013,2119,0,0,0,1,2013_21190
261,51375,2014,2119,0,0,0,0,2014_21190
262,52951,2015,2119,0,0,0,0,2015_21190
263,54571,2016,2119,1,0,1,1,2016_21190
264,56521,2017,2119,0,0,0,1,2017_21190
265,52119,2013,2120,0,0,0,0,2013_21200
266,52372,2014,2120,0,0,0,0,2014_21200
267,55188,2015,2120,0,0,0,1,2015_21200
268,56491,2016,2120,0,0,0,1,2016_21200
269,58272,2017,2120,1,0,1,1,2017_21200
270,46731,2013,2121,0,0,0,1,2013_21210
271,48806,2014,2121,0,0,0,1,2014_21210
272,51395,2015,2121,0,0,0,1,2015_21210
273,53233,2016,2121,0,0,0,1,2016_21210
274,55011,2017,2121,1,0,1,1,2017_21210
275,49488,2013,2122,0,0,0,1,2013_21220
276,51186,2014,2122,0,0,0,0,2014_21220
277,53177,2015,2122,0,0,0,1,2015_21220
278,55169,2016,2122,0,0,0,1,2016_21220
279,56932,2017,2122,0,0,1,1,2017_21220
280,53266,2013,2124,0,0,0,0,2013_21240
281,54362,2014,2124,0,0,0,0,2014_21240
282,56435,2015,2124,1,0,1,1,2015_21240
283,58209,2016,2124,1,0,1,1,2016_21240
284,59738,2017,2124,0,0,0,1,2017_21240
285,48150,2013,2125,1,0,1,1,2013_21250
286,50306,2014,2125,0,0,0,1,2014_21250
287,52549,2015,2125,1,0,1,1,2015_21250
288,54038,2016,2125,0,0,1,1,2016_21250
289,55448,2017,2125,1,0,1,1,2017_21250
290,50681,2013,2126,0,0,0,0,2013_21260
291,52022,2014,2126,0,0,0,0,2014_21260
292,53555,2015,2126,0,0,0,0,2015_21260
293,55472,2016,2126,1,0,1,1,2016_21260
294,56714,2017,2126,0,0,0,1,2017_21260
295,44502,2013,2128,0,0,0,1,2013_21280
296,45369,2014,2128,0,0,0,0,2014_21280
297,48132,2015,2128,1,0,1,1,2015_21280
298,51015,2016,2128,0,0,0,1,2016_21280
299,53294,2017,2128,0,0,0,1,2017_21280
300,59724,2013,2131,0,0,0,0,2013_21310
301,60370,2014,2131,0,0,0,0,2014_21310
302,61619,2015,2131,0,0,0,1,2015_21310
303,62692,2016,2131,1,0,1,1,2016_21310
